county_fips,county_name,state_fips,state_abbr,state_name,office_count,has_medicaid_office,has_hospital_obstetric_care,no_hospital_obstetric_care,poverty_rate,no_vehicle_rate,no_internet_rate,limited_english_rate,disability_rate,female_15_44_rate,metro_nonmetro_flag,nchs_urban_rural_category,no_medicaid_office_flag,no_hospital_obstetric_care_flag,high_poverty_flag,high_no_vehicle_flag,high_no_internet_flag,high_limited_english_flag,high_disability_flag,high_female_15_44_flag,nonmetro_flag,postpartum_access_barrier_score,postpartum_access_barrier_level,index_component_count,index_component_summary
01001,Autauga County,01,AL,Alabama,0,0,0,1,0.112895,0.041323,0.055286,0.004145,0.162334,0.195556,Metro,Medium metro,1,1,0,0,0,0,0,1,0,5,Moderate concern,3,No Medicaid office; No hospital-based obstetric care; High female population ages 15-44
01003,Baldwin County,01,AL,Alabama,0,0,1,0,0.100927,0.026822,0.075578,0.010064,0.132072,0.17172,Metro,Small metro,1,0,0,0,0,0,0,0,0,2,Lower concern,1,No Medicaid office
01005,Barbour County,01,AL,Alabama,0,0,0,1,0.213826,0.104952,0.189198,0.022458,0.19443,0.156434,Nonmetro,Micropolitan,1,1,1,1,1,1,1,0,1,10,Highest concern,8,No Medicaid office; No hospital-based obstetric care; High poverty; High no-vehicle households; High no-internet subscription; High limited English; High disability; Nonmetro
01007,Bibb County,01,AL,Alabama,0,0,1,0,0.22457,0.054258,0.138759,0.004803,0.205625,0.166064,Metro,Large fringe metro,1,0,1,0,1,0,1,0,0,5,Moderate concern,4,No Medicaid office; High poverty; High no-internet subscription; High disability
01009,Blount County,01,AL,Alabama,0,0,0,1,0.128601,0.040442,0.124121,0.017223,0.174522,0.173275,Metro,Large fringe metro,1,1,0,0,0,0,0,0,0,4,Moderate concern,2,No Medicaid office; No hospital-based obstetric care
01011,Bullock County,01,AL,Alabama,0,0,0,1,0.332722,0.099512,0.277928,0.00461,0.169803,0.152018,Nonmetro,Noncore,1,1,1,1,1,0,0,0,1,8,High concern,6,No Medicaid office; No hospital-based obstetric care; High poverty; High no-vehicle households; High no-internet subscription; Nonmetro
01013,Butler County,01,AL,Alabama,0,0,0,1,0.224145,0.059366,0.120442,0.007108,0.18901,0.179495,Nonmetro,Noncore,1,1,1,0,0,0,0,0,1,6,High concern,4,No Medicaid office; No hospital-based obstetric care; High poverty; Nonmetro
01015,Calhoun County,01,AL,Alabama,0,0,1,0,0.17891,0.063868,0.102877,0.00953,0.207914,0.202403,Metro,Small metro,1,0,1,0,0,0,1,1,0,5,Moderate concern,4,No Medicaid office; High poverty; High disability; High female population ages 15-44
01017,Chambers County,01,AL,Alabama,0,0,0,1,0.157448,0.073173,0.155873,0.007369,0.202311,0.182206,Nonmetro,Micropolitan,1,1,0,1,1,0,1,0,1,8,High concern,6,No Medicaid office; No hospital-based obstetric care; High no-vehicle households; High no-internet subscription; High disability; Nonmetro
01019,Cherokee County,01,AL,Alabama,0,0,0,1,0.147548,0.027767,0.144721,0.011578,0.21109,0.159651,Nonmetro,Noncore,1,1,0,0,1,0,1,0,1,7,High concern,5,No Medicaid office; No hospital-based obstetric care; High no-internet subscription; High disability; Nonmetro
