state_fips,state_abbr,state_name,total_counties,average_postpartum_access_barrier_score,median_postpartum_access_barrier_score,counties_lower_concern,counties_moderate_concern,counties_high_concern,counties_highest_concern,share_counties_high_or_highest_concern,counties_no_medicaid_office,counties_no_hospital_obstetric_care,counties_with_both_admin_and_clinical_gaps
01,AL,Alabama,67,5.671642,6,11,19,28,9,0.552239,56,40,40
02,AK,Alaska,30,5.5,6.0,5,7,16,2,0.6,20,17,17
04,AZ,Arizona,15,2.8,2,8,5,2,0,0.133333,1,2,1
05,AR,Arkansas,75,4.746667,5,11,37,27,0,0.36,0,49,0
06,CA,California,58,2.517241,2.0,32,26,0,0,0.0,0,12,0
08,CO,Colorado,64,3.015625,3.0,26,34,4,0,0.0625,0,35,0
09,CT,Connecticut,9,2.222222,2,5,4,0,0,0.0,1,0,0
10,DE,Delaware,3,2.0,2,2,1,0,0,0.0,0,0,0
11,DC,District of Columbia,1,3.0,3,0,1,0,0,0.0,0,0,0
12,FL,Florida,67,3.731343,3,29,19,17,2,0.283582,32,30,24
13,GA,Georgia,159,4.018868,4,39,80,39,1,0.251572,4,105,3
15,HI,Hawaii,5,3.0,2,4,0,1,0,0.2,1,1,1
16,ID,Idaho,44,4.045455,4.0,8,22,14,0,0.318182,27,24,20
17,IL,Illinois,102,3.921569,4.0,31,46,25,0,0.245098,50,64,44
18,IN,Indiana,92,2.478261,3.0,44,45,3,0,0.032609,0,43,0
19,IA,Iowa,99,2.424242,3,49,49,1,0,0.010101,0,54,0
20,KS,Kansas,105,4.07619,4,24,56,25,0,0.238095,69,62,54
21,KY,Kentucky,120,4.183333,4.0,24,60,36,0,0.3,1,81,1
22,LA,Louisiana,64,6.015625,6.0,3,25,24,12,0.5625,54,39,39
23,ME,Maine,16,2.0625,2.0,10,6,0,0,0.0,4,1,1
24,MD,Maryland,24,2.166667,2.0,13,11,0,0,0.0,0,6,0
25,MA,Massachusetts,14,3.357143,3.0,1,13,0,0,0.0,8,0,0
26,MI,Michigan,83,2.542169,3,41,38,4,0,0.048193,5,37,3
27,MN,Minnesota,87,2.08046,2,50,37,0,0,0.0,0,37,0
28,MS,Mississippi,82,6.134146,7.0,9,19,45,9,0.658537,53,54,45
29,MO,Missouri,115,3.504348,3,38,55,22,0,0.191304,0,75,0
30,MT,Montana,56,4.339286,5.0,13,26,17,0,0.303571,37,35,33
31,NE,Nebraska,93,3.967742,4,25,51,17,0,0.182796,56,57,45
32,NV,Nevada,17,4.235294,5,5,8,4,0,0.235294,8,10,7
33,NH,New Hampshire,10,1.5,1.0,7,3,0,0,0.0,0,2,0
34,NJ,New Jersey,21,1.952381,2,12,9,0,0,0.0,0,3,0
35,NM,New Mexico,33,5.515152,5,3,14,12,4,0.484848,11,13,6
36,NY,New York,62,2.403226,2.5,31,31,0,0,0.0,0,14,0
37,NC,North Carolina,100,2.86,2.0,51,37,12,0,0.12,0,41,0
38,ND,North Dakota,53,3.320755,3,12,38,3,0,0.056604,5,42,5
39,OH,Ohio,88,2.272727,2.0,52,30,6,0,0.068182,0,36,0
40,OK,Oklahoma,77,5.285714,6,12,25,34,6,0.519481,41,52,39
41,OR,Oregon,36,2.555556,2.0,20,13,3,0,0.083333,3,9,3
42,PA,Pennsylvania,67,2.283582,2,39,28,0,0,0.0,0,22,0
44,RI,Rhode Island,5,1.8,1,3,2,0,0,0.0,1,1,1
45,SC,South Carolina,46,3.413043,3.0,18,18,10,0,0.217391,0,22,0
46,SD,South Dakota,66,4.212121,5.0,15,33,18,0,0.272727,30,46,29
47,TN,Tennessee,95,3.284211,3,34,48,13,0,0.136842,0,56,0
48,TX,Texas,254,4.586614,4.0,53,112,80,9,0.350394,93,150,84
49,UT,Utah,29,2.206897,2,21,7,1,0,0.034483,3,6,3
50,VT,Vermont,14,3.285714,3.0,2,11,1,0,0.071429,13,3,3
51,VA,Virginia,133,3.593985,4,44,68,19,2,0.157895,14,89,14
53,WA,Washington,39,2.846154,2,21,13,5,0,0.128205,9,12,6
54,WV,West Virginia,55,4.236364,4,12,25,18,0,0.327273,1,38,1
55,WI,Wisconsin,72,1.763889,1.5,47,24,1,0,0.013889,0,27,0
56,WY,Wyoming,23,3.869565,4,1,20,2,0,0.086957,22,6,6
